number,contents
184823,민사 소송법   정하   실기 하   공격   방어 진행 정도 비추 어 당사자 과거 제출 을 기대 하   있 었 더   객관적 사정 있 었 는데 하 지 않 것  지 등 을 고려 하 어야 하  다   
203557,타 아 주점 유가 자주 점유 전환 되 기 위하 어서 새 롭   권원 의하 여 점유 하 거나 자기 점유 시키   소유 의사 있음 을 표시 하 어야 하  다   
70134,사채 업자 윤락녀 선 불금 을 대여 하   행위 선량 하   풍속 기타 사회 질서 위반 되 어 무효 라고 하   다   
153095,한국 예탁 결제 원의 의결권 행사 제도 주주 총회 성립 을 지원 하 기 위하   제도 로서 정관 변경 을 통하 어 규정 신설 되   만 전자 적 의하   총회 소집 통지 갈음 하   있 다   
117051,공탁물 수령자 추가 하 공탁서 정정 공탁 동일성 을 해하 것 으로서 허용 되   없 다   
106929,공장 경락인 공장 을 경락 취득 하 기 체납 전기 요금 존재 알 고 경락 하   것 라면 채무 인수 불 가피 것 알 고 경락 하   것 라고 보 것 옳 을 것 다   
226851,항소 장이 송달 하   없 항소심 재판장 항소인 상당 하   기간 을 정하 여 기간 이내 피 항소인 주소 보정 하 도록 명하 어야 하  다   
118936,비영리 법인   새마을 금고 연합회 징수 하   예치금 어 스스로 법인세 과세 대상 하 여 자진 납부 하   뒤 이르   환급 받 기 위하 어 국세청장 진정서 제출 하 었 다   
175137,변호 사법   저   호 강행 법규 로서 이익 취득 을 목적 하 법률 행위 반사회적 성질 을 띠 게 되 어 사법 적 효력 부정 되  다   
195368,강행 법규 위반 하   자가 스스로 약 정의 무효 주장 하 것 오히려 강행 법규 의하 여 배제 하 려는 결과 실현 시키 셈 되 어 입법 완전히 몰각 하 게 되  다   
211085,매매 계약 체결 시 토지 일정 부분 을 매매 대상 제외 시키 특약 을 하   것 매매 계약 체결 되 지 않 았 음 을 분명히 하   것 부분   어떠하   법률 행위 이루어지   것 보   없 다   
211283,공무원 불법 행위 인하 어 분배 농지   권리 상실 하   피 상속인 사망 하   이후 상속인 채권 상속 재산 분할 대상 되   있 문제 되   어 정당 하 하 었 다   
76071,구 산림법   저   항 대부 기간 만료 대 부가 종료 되 대 부가 종료 되 모든   법률 관계 규율 하 조항 다   
85464,공동 시행자   규정 개 정법 시행 최초 사업 시행 고시 있 재개발 사업 부터 적용 하  다고 정 하 였 으나 공동 시행자   규정 적용 되 지 않 았 다   
198095,구 주택 건설 촉진법   저   항 저   저   항   호 규정 국민 주택 사업 주체 주택 여 필요 하   사항 하나 로서 택지 규모   위치   건설 기간 을 조사 하 도록 하   것 불과   
205066,시   금원 기부 등 행위 저     국가 보안 사령부 예하 보안 부대 강박 인하   것 며 취소 하   있 법률 행위 하  다고 보  다   
195155,소극적 하나 부제 소 합의 합의 당사 자가 처분 하   권리 있 범위 내의 것 특정 하   법률 관계 한정 되   허용 되  다   
76128,토지 구획 정리 사업 시행자 토지 구획 정리 사업 을 시행 하 면서 무상 제공 되 지 아니하   도로 기타 공공 용 사실상 공 하 고 있 사유지 토지 구획 정리 사업 시행자 배상 하   책임 있 다   
