number,contents
204845,상법   보험 목적 양도 되   양수인 양도인   관계 보험 계약상 권리 함께 양도 되   것 당사자 통상 의사 추정 하 고 이르   사회 경제적 관점 긍정 하   것 다   
199605,채권자 대위권 채권자 채무자   자기 채권 을 보전 하 기 위하 어 채무자     권리 대위 행사 하   있 권리 말하 며 보전 되 채권 이행 기가 도래 하   것 면 족하 하   것 다   
191829,아파트 수분 양자 아파트   소유권 이전 등기 청구권 을 가지 고 있 어 소유권 이전 등기 경 료 하 게 되 면 건물 소유권 을 취득 하 게 되  다   
197546,종전 소유자   소유권 이전 등기 청구권 을 보전 하 기 위하 어 부동산 소유자 대위 하 여 저   명의 소유권 전등 기의 말소 구하 것 확정 기판력 저촉 되  다   
75845,적산 동결 되 고 처리 되   재산 인간 기본권   재산권 자유 정당 하   절차 의하 지 않 고 무시 하   채 불법 하 게 박탈 되   재산 기 때문 미 군정청 귀속 을 해제 하 고 원 소유자 소급 하 여 반환 하  다는 있 다   
186106,채권자 취소권 채무자 책임 재산 일탈 하   재산 을 회복 하 여 채권자 강제 집행 가능 하 도록 하 권리 므로 채권자 취소권 의하 여 책임 재산 을 보전 하   필요성 없 어 지 면 채권자 취소권 소멸 하  다   
133919,가처분 취소 결정 집행 마 쳐지   이르   간과 하 고 효력 정지 재판 을 받 았 하 더라도 저   명의 소유권 이전 등기 효력 영향 을 미치 지 못하  다   
74281,자연 부락 으로서 사 평동 동민 중 목적 찬동 하 사람 조직 되   사 평동 동민 적법 하   절차 의하 어 대표자 선임 하 면 비 법인 사단 으로서 당사자 능력 있 다   
157432,소유권 이전 등기 말소 본소 패소 시키 고 원고   토지 인도 반소 허용 하 었 다   
75395,본안 패소 확정 되 었 더라도 의하 어 피 보전 권리 부인 되   한하 여 사정 변경 하  다고 하   없 다   
189607,불공정 하   법률 행위   규정 약자 적 지위 있 사람 궁 박   경솔 무경험 을 이용 하   폭리 행위 규제 하 려는 데 목적 있 다   
76523,조건부 장래 이행 을 하 소 미리 하   필요 있 한하 여 허용 되 며 조건부 장래 이행 을 하 소 로써 미리 하   필요 있 한하 여 허용 되  다   
193721,일제하 토지 조사 사업 당시 지목 도로 조사 되 었 으나 지 번 부여 되 지 않 았 을 뿐 만 아니 라 토지 대장 등록 되 지 않 토지 국유 공공용 재산 었 보 아야 하  다   
70456,전환 사채 발행 주식 회사 물적 기초 기존 주주 이해관계 영향 을 미치  다는 점 신주 발행 하 것 유사 하 여 신주 발행 무효 소  다   
77077,국세 징수법   소정 압류 재산 관계 되 저당권 라 함 체납 처분 의하   압류 등기 완료 되 기 설정 되   저당권 만 을 하  다   
83629,집행 증서 소지 하   동산 양도 담보권 목적 물건   양도 담보권 설정자 일반 채권자 강제 집행 배제 구하   있 다   
200169,국가 배상법   소 정의 공무원 직무 집행 하   당하 여 라고 하   직무 밀접 하   관련 있 것 포함 되  다   
196805,경매 절 물의 경락인 유효 하 게 소유권 을 취득 하  다면 경매 절차 집행 관이 영수 하   매득금 저   이의 소 승소 하   자가 대상물 어 권리 주장 하   있 다   
184529,구 공익 사업 을 위하   토지 등 취득 보상   법률   저   항 환매권 공익 사업 필요 하   토지 협의 취득 수용 등기 되   저   대항 하   있 정하 고 있 다   
233195,원고 소유권 전등 기의 말소 등기 청구권 없 다는 것 을 다투   없 사유 가지 고 원고 소유권 전등 기의 말소 등기 청구권 없 다는 것 을 다투   없 다   
85866,사문서 성립 당사자 간 다툼 없 으면 상대방 스 어 증 진정 성립   거 증자 주장 을 자백 하   것 자백 구속 되 어 형식적 증거력 을 하 어야 하  다   
201149,전기 사업법   저   항 소정 전기 요금 기타 공급 조건 일반전기 사업자 수용 전기 공급 하 관련 하 여 수용 가가 부담 하 여야 하   요금 기타 사항 을 말하  다   
202757,불법 행 인하   손해 배상 사건 과실 상계 사유   사실 이나 비율 을 정하 것 형평 원칙 비추 어 불합리 고 되 지 않 사실 심의 전권 사항 속하  다   
83807,집합 건물 소유 관리   법률   저   항 의하 면 재 건축 결의 구분 소유자 의결권 각       이상 다수 의하   결의 의하 도록 규정 되 어 있 다   
204837,원고 피 상속인 명의 소유권 이전 등기 적법 하 게 경 료 되 어 있 었 으나       사변 지적 공부 등기부 멸실 되 었 다   
189176,순위 저당권 실행 목적 부동산 경락 되 어 선순위 저당권 함께 소멸 하   라면 소멸 되   선순위 저당권 보다 뒤 등기 되 었 거나 대항력 을 갖추   임차권 함께 소멸 하  다   
203375,매수인 계약 전부 무효 주장 하   있 이행 을 거부 하 것 당연 하 지만 계약 을 유지 하 고자 하   상응 하   자신 채무 이행 하 것 옳 다   
209599,구 유통 산업 발전 따르   대규모 점포 개설 등록 구 재래시장 상점가 육성 을 위하   특별법 따르   시장 관리자 지정 수리 요하 신고 로서 행정 처분 하 묻 다   
232299,분묘 기지   지상권 유사 하   물권 유해 매몰 하   곳 국한 되   것 아니 라 분묘 존엄 유지   사실상 관리 예배 사함 소요 되 사주 공극 지도 포함 되  다   
84446,구 도시 재 개발법   대지 건축 시설 관리 처분 계획 의하 여 처분 관리 하  다고 규정 하 고 있 고 저   저   항 저   저   항 규정 의하   관리 처분 계획 따르 아 대지   소유권 을 취득 하  다고 규정 하 고 있 다   
74528,소외 망 이영 필 아 소유 하   본 건물 원고 근저 당권 지상권 자로 하 근저당 권 지상권 설정 등기 각 경 료 되 었 다   
154820,변호사 사건 당사 자간 금   원 보수 약정 부당 히 과다 면 신의 성실 원칙 반하 계약 다   
76955,원고 종전 토지   소유권 이전 등기 경 료 하   없 게 되   이상 피 고는 소유권 이전 등기 경 료 하 어 주   의무 있 다   
231771,채무자 회생   정하 부인권 관리인 만이 행사 하   있 권리 므로 종전 채권자 채권자 취소 변경 하 어야 하  다   
81264,채권자 전보 배상 청구권 계약 해제권 외 별 도로 대상 청구권 을 규정 하 고 있 지 않 으나 경락자 소유자 하천 구역 편입 인하 어 지급 받 게 되 손실 보상금   대상 청구권 을 행사 하   있 다   
153960,농지 농 개법 의하 어 국가 당연 매수 되 어 농지 소유자 소유권 을 상실 하 였 다 하 더라도 원인 없이 경 료 되   명의 소유권 전등 기의 말소 소구 하   이익 있 다   
95809,토지 소유자 매각 하 고 남 토지 주민 공로 제공 하   통로 사용 하 고 있 주민 현황 따르 아 효율 을 높이 기 위하 어 집수 정의 설치   하수도 도로 포장 을 하   있 어 피고 시가 공사비 상당 부분 을 제공 하 었 다   
192182,집합물   양도 담보권 설정 계약 이루어지   양도 담보권 설정자 양도 담보권 설정자 제외 하   저     관계 있 어서 자신 소유자 임 을 주장 하 여 권리 행사 하   있 다   
104802,부동산 등기법   규정 되   등기 의무 자가 본인 임 을 보증 하  다는 것 등기 신청 을 하 사람 등기부 명의 같 사람 라는 것 을 선량 하   관리자 주의 확인 하  다는 것 다   
85954,  소위 저   라 하   등기 흠결 을 주장 하   법률 정당 하   이익 을 갖인 한하 며 등기 흠결 을 주장 하   법률 정당 하   이익 을 갖인 한하  다   
104527,가압 가압류 등기 무효   등기 라면 부동산 소유자 가압류 채권자 상대 가압류 등기 말소 하   있 다   
72759,사망자 상대 기하 여 이루어지   등 기라 하  지라도 그것 실체 권리 관계 부합 되   등기 유효 하   등기 귀착 되  다   
102678,심리 미진 채 증 법칙 위반 위법 있 어 을 파기 하   예 심리 미진 채 증 법칙 위반 위법 있 어 을 파기 하   예 다   
226447,      회사 대표 이사 로서 업무 일체   위임 하 고 대표 이사 직무 전혀 집행 하 지 않 것 직무 충실 선관 의무 위반 하   행위 하  다   
93795,제소 전화 하 어 조서 기판력 명의 신탁 을 적법 히 해지 하 고 명의 신탁 하 어 지르   원인 소유권 이전 등기 절차 이행 을 소구 하 미치 지 않 다   
144866,사해 행위 당시 법률 관계 트 어 잡 아 채권 성립 되리 라는 점   개연성 현실화되 어 채권 성립 되   채권 채권자 취소권 피 보전 채권 되   있 다   
80803,진정 하   등기 명의 회복 을 위하   소유권 이전 등기 등기 명의 회복 을 원인 소유권 이전 등기 절차 이행 을 구하 것 다   
210061,외국 국적   선박 여 대한민국 경매 절차 진행 되 집행 절차 따르   소유권 취득 실체 법적 영역 므로 선적 국 법인 외국 법률 따르 아 하 어야 하  다   
223859,재심 피고 동 피고 망부 묘 타인 임야 설치 하 고 평온   공연히 동 기지 점유 하 어 오 더   중 모 사망 하 망부 묘지 망 모의 분묘 쌍분 설치 하   다   
169483,  규정 하 고 있 채권자 대위권 채무자     권리 대위 하 여 행사 하   있 권리 말하 며 보전 필요성 되 어야 하  다   
82135,부동산 실 권리자 명의 등기   법률   저   항 단서 규정 을 적용 하   여지 없이 무효 라고 봄 상당 하 고 을 여 부동산   소유권 이전 등기 절차 이행 을 구하   있 다   
103164,부동산 등기법   저   호 소정 부동산 등기법   저   호 되 등기 공무원 등기 신청 을 각하 하 어야 하   것 이나 등기 공무원 처분   이의 신청 말소 구하   없 다   
70563,저작권법   저   호 의하 면 저작 재산권 양도 처분 제한   사항 이르   등록 하 지 않 으면 저   대항 하   없 으며 저작 재산권 양도 등록 하 지 않 양수인 저작 재산권 양도 대항 하   있 다   
196753,등기 관리 통지 없 으면 토지 대장 등록 하   없다 고 규정 하   구 토지 대장 규칙 구토 지대 장상 등록 일자 이전 소유권 전등 기가 경 료 되 었 보 기 어렵 다   
196222,점유자 점유 소유 의사 없 타 주점 유인 지의 점유자 내심 의사 의하 어 결정 되 것 아니 라 모든 사정 의하 여 외형 적   객관적 결정 되 어야 하  다   
167474,주택 임대차 보호법 임대 주택 양도 양수인 임대차 보증금 반환 채무 면책 적 인수 하 이유 임차인 같 규정 하 대항 을 구비 하 면 임대차 보증금 을 우선 변제 받 을 있 기 때문 다   
193649,국세 징수법   저   항 소정 배분 처분 조세 채권 을 행사 하  다는 점 조세 자력 집행권 구체적 목적 을 달성 하 과정 보   있 다   
156449,건물 부지 공유자 대지 분할 하 여 건물 부지 공유 자중 사람 단독 소유 귀속 되   특별 하   사정 없 건물 소유자 관습 의하   정지 상권 을 취득 하  다   
106725,토지 건물 모두 국가 소유 속하 어 있 더   중 토지 개인 불하 매도 되 어 각 소유자 달리하 게 되   지상 건물 을 철거 하  다는 특약 을 하   것 점유권 원의 성질 자주 점유 보   없 다   
200944,농지 개혁 법의 시행 수분 배자 분배 되   농지 소멸 되 고 소멸 되  다   
95630,  소정 상속 재산 처분 후의 피인 지자 청구권 기하   것 라면 지연 손해금 채권 상속 회복 청구권 확장 다   
232155,본건 가옥 신청인 소유 내지 점유 속하  다 하 더라도 피 신청인 등 본건 가옥 을 점유 하 고 있 이상 출입 금지 구하 가처분 신청 부당 하 다   
191070,사해 행위 라고 주장 되 행위 이후 채무자 변제 노력 채권자 태도 등 사해 의사 유무 하   있 어 간접 사실 삼 을 있 다   
150235,농지 본조   항   호 소정 위토 하 면 아무런 절차 나 필요 없이 본법   조의 정부 매수 제외 되 며 위토   분배 무효 다   
199782,공용 폐지 의사 표시 적법 하   의사 표시 있 어야 하 고 행정 재산 본래 용도 사용 되 지 않 고 있 다는 사실 만 용도 폐지 의사 표시 있 었 보   없 다   
220237,상가 분양 하 면서 첨단 오락 타운 을 조성 하 고 전문 경영인 의하   위탁 경영 을 통하 어 일정 수익 을 보장 하  다는 광고 하 였 하여 상대방 을 기망 하 여 분양 계약 을 체결 하 게 하   것 라 보   없 다   
158134,종전 소유자 소유권 영구히 소멸 되 고 성토 화 하   토지   소유권 을 취득 하 지 못하  다   
83321,구 민사 소송법   저   항 포함 되 지 않 전세권 라도 낙찰 기일 이전 존속 기간 만료 되 전세권 적법 하 게 배당 요구 하   있 다   
154846,원고 주소 알 면서 허위 주소 제소 하 여 공시 송달 승소 확정 을 받 았 다는 이유 피고 하   재심 소 원고   새 롭   병합 하 것 부적 법하 다   
73233,특정 채무 담보 로서 하 저당권 을 설정 하   없이 채권자 근저당 권 설정 계약 을 맺 고 이에 따르   근저당 권 을 설정 하   것 라면 근저당 권 효력 미치  다   
207427,  소정 손해 알   날 위법 하   토지 구획 사업 토지 소유권 을 상실 하   자가 토지   환지 처분 위법 고 인식 하   부터 손해 배상 청구권 소멸 시효 진행 되 것 다   
97182,부동산 등기법   저   호 하 것 아니 며 동조   호 신청서 필요 하   서면 을 첨부 하 지 않 불과 하여 등기 공무원 말소 구하   없 다   
194995,공공 용지 취득 손실 보상   특례법 소정 환매권 을 재 판상 행사 하 였 음 을 원인 소유권 이전 등기 소가 각하 되 불복 상고 하면서 환매 대금 선 이행 의무 부과 하   규정   위헌 심판 제청 신청 을 하 었 다   
154843,채무 전체 부 존재 확인 을 구하 소극적 확인 소 부 존재 확인 을 구하 목적인 법률 관계 가분 고 분량 적 일부 만이 부 존 하 전부 기각 하   것 아니 라 일부 패소 을 하   있 다   
204809,대지 매수 하 였 으나 명의 소유권 이전 등기 마치 지 아니하 고 타인 명의 신탁 하   신탁자 동일인 소 유임 을 전제 하   정지 상권 을 취득 하   없 다   
