number,contents
235127,"[ 1 ] 공동 상속인 아니 ㄴ 저 3 ㄴ 증여 당시 정상 속 분의 2 분 1 유류분 갖 배우자 나 직계 비속 공동 상속인 으로서 유류 분권 리 자가 되리 라고 예상 하 ㄹ 있 , 증여 유류분 권리자 손해 가하 ㄹ 것 알 고 행해지 ㄴ 것 라고 보 기 위하 ㄴ < br / > [ 2 ] 유류분 반환 청구권 단기 소멸 시효 기산점 으로서 1117 정하 ㄴ ‘ 반환 하 여야 하 ㄹ 증여 유증 하 ㄴ 사실 알 ㄴ ’ < br / > [ 3 ] 유류분 권리자 피 상속인 부터 부동산 등기 이전 받 저 3 상대 등기 무효 사유 주장 하 며 소유권 전등 기의 말소 구하 소 하 였 으나 오히려 증여 되 ㄴ 것 하 선고 되 어 확정 되 ㄴ , 확정 되 ㄴ 증여 있 었 다는 사실 그것 반환 하 여야 하 ㄹ 것 ㅁ 알 았 다고 보 아야 하 는지 ( 원칙적 ) < br / > [ 4 ] 유류분 권리자 반환 하 ㄹ 있 유류 분 부족액 산정 < br / > "
234785,"증여 재산 상속 개시 처분 수용 되 ㄴ , 유류 분 산정 하 ㅁ 있 어 증여 재산 가액 산정 ( = 증여 재산 현실 가치 ㄴ 처분 당시 가액 기준 상속 개시 까지 사이 물가 변동률 반영 ) < br / > "
234931,"공동 상속인 사이 협의 이루어지 지 않 , 제사 주재자 결정 하 < br / > "
234693,"1007 정하 ㄴ ‘ 상속분 ’ ( = 정상 속 분 ) 공동 상속인 사이 상속 재산 분할 마 쳐지 지 않 았 음에도 특정 공동 상속인 여 특별 수익 등 고려 하 면 구체적 상속분 없 다는 등 이유 듣 어 개개 상속 재산 관하 여 법정 상속분 따르 ㄴ 권리 승계 아예 이루어지 지 않 았 다 거나 , 법정 상속분 따르 아 마 쳐지 ㄴ 상속 원인 소유권 전등 기가 원인 무효 라고 주장 하 것 허용 되 는지 ( ) < br / > "
234385,"피 상속인 배우자 자녀 중 자녀 전부 상속 포기 하 ㄴ , 배우자 단독 상속인 되 는지 ( ) < br / > "
232563,"[ 1 ] 상법 814 저 1 항 정하 ㄴ 해상 운송인 송하인 이나 수하인 ㄴ 권리 · 의무 소멸 기간 제척 기간 ㄴ지 ( ) / 제척 기간 기산점 ( = 운송 물 인도 하 ㄴ 날 인도 하 ㄹ 날 ) 여기 서 ‘ 운송 물 인도 하 ㄹ 날 ’ / 해상 운송인 송하인 수하인 ㄴ 채권 · 채무 원인 불법 행위 ㄴ 제척 기간 적용 되 는지 ( ) < br / > [ 2 ] 제척 기간 제도적 취지 / 아직 발생 하 지 않 권리 여 제척 기간 관하 ㄴ 규정 적용 하 ㄹ 있 는지 ( ) < br / > [ 3 ] 복합 운송 주선인 ㄴ 甲 주식회사 운송 계약 따르 아 해상 운송인 ㄴ 乙 외국 회사 운송 의뢰 하 ㄴ 화물 폐기물 처리 업자 수출 화물 ㄴ 것 처럼 가장 하 여 반출 하 려 하 ㄴ 폐기물 었 는데 , 이르 ㄹ 甲 회사 甲 회사 지정 하 ㄴ 수하인 수령 하 지 않 아 컨테이너 초과 사용료 , 터미널 보관료 등 손해 계속 발생 하 , 乙 회사 화물 도착 약 2 년 지나 ㄴ 시점 甲 회사 상대 손해 배상 구하 ㄴ , 컨테이너 초과 사용료 터미널 보관료 관하 ㄴ 손해 배상 채권 중 ‘ 화 물의 인도 행하 여 지 어야 하 었 더 ㄴ 날 ’ 지나 서 발생 하 손해 배상 채권 제척 기간 기산일 채권 발생 일 라고 해석 하 ㅁ 타당 하 ㄴ 데 , 손해 배상 중 소 1 년 안 발생 하 ㄴ 부분 까지 상법 814 저 1 항 정하 ㄴ 1 년 제척 기간 도과 하 여 부적 고 보 ㄴ 법리 오해 잘못 있 다고 하 ㄴ < br / > "
231789,"[ 1 ] 확인 소 ‘ 확인 이익 ’ 되 기 위하 ㄴ < br / > [ 2 ] 원고 용 주가 근로자 하여금 저 3 위하 ㄴ 업무 수행 하 도록 하 , 파견 근로자 보호 등 관하 ㄴ 법률 적용 받 ‘ 근로자 파견 ’ 하 는지 하 기준 < br / > [ 3 ] 자동차 등 제조 · 판매 하 甲 주식회사 직접 도급 계약 체결 하 ㄴ 사내 협력 업체 甲 회사 부품 거래 계약 체결 하 ㄴ 乙 주식회사 등 재차 도급 계약 체결 하 ㄴ 사내 협력 업체 소속 근로자 로서 甲 회사 공장 업무 수행 하 ㄴ 丙 등 甲 회사 상대 근로자 지위 확인 등 구하 ㄴ , 제반 사정 비추 어 甲 회사 丙 등 근로자 파견 관계 있 었 다고 보 ㄴ 정당 하 다고 하 ㄴ < br / > [ 4 ] 구 파견 근로자 보호 등 관하 ㄴ 법률 따르 아 사용 사업주 파견 근로자 사이 직접 고용 관계 성립 간주 되 ㄴ 파견 근로 자가 파견 사업주 ㄴ 관계 사직 하 거나 해고 당하 ㄴ , 사용 사업주 파견 근로자 사이 직접 고용 간주 관련 되 ㄴ 법률 관계 영향 미치 는지 ( 원칙적 ) 파견 근로 자가 파견 사업주 근로 관계 종료 하 고자 하 의사 사직 의사 표시 하 ㄴ 사정 만 같 6 저 3 항 단서 정하 ㄴ ‘ 당하 어 파견 근로자 명시 적 ㄴ 반대 의사 표시 하 ’ 하 ㄴ다고 단정 하 ㄹ 있 는지 ( ) < br / > [ 5 ] 사용 사업 주가 구 파견 근로자 보호 등 관하 ㄴ 법률 따르 ㄴ 직접 고용 간 주의 효과 발생 하 였 음에도 파견 근로자 현실적 고용 하 지 않 고 있 더 ㄴ 중 파견 근로 자가 파견 사업주 사이 근로 관계 중단 종료 따르 아 근로 제공 하 지 못하 ㄴ , 파견 근로자 사용 사업주 상대 근로 제공 중단 기간 동안 근로 제공 계속 하 였 더라면 받으 ㄹ 있 었 더 ㄴ 임금 상당액 하 ㄹ 있 는지 ( ) < br / > "
231775,"상속 채권자 피 상속인 여 채권 보유 하 면서 상속인 여 채무 부담 하 , 상속 채권자 상속 개시 되 ㄴ 피 상속인 ㄴ 채권 자동 채권 하여 상속인 ㄴ 채무 여 계하 었 더라도 이후 상속인 한정 승인 하면 상계 소급 하 여 상실 하 는지 ( ) < br / > "
231687,"국유림 경영 관리 관하 ㄴ 법률 따르 아 준 보전 국유림 대부 받 자가 권리 저 3 양도 하 ㄴ , 산림청 장의 허가 없 었 다는 이유 만 양도 계약 무효 유동적 무효 상태 되 ㄴ다고 보 ㄹ 있 는지 ( ) < br / > "
231449,"건물 소유자 현실적 건물 이나 부지 점거 하 고 있 지 않 더라도 건물 소유 위하 여 부지 점유 하 ㄴ다고 보 아야 하 는지 ( ) / 타인 소유 토지 권원 없이 건물 소유 하 자체 타인 토지 차임 상당 손해 주 고 있 는지 ( 원칙적 ) 건물 소유자 미 등기 건물 원시 취득자 고 건물 관하 여 사실상 처분권 보유 하 게 되 ㄴ 양수인 따로 존재 하 , 미 등기 건물 원시 취득자 토지 소유자 여 부당 이득 반환 의무 질 는지 ( ) / 미 등기 건물 양수 하 여 건물 관하 ㄴ 사실상 처분권 보유 하 게 되 ㅁ 으로써 양수인 건물 부지 역시 아우르 어 점유 하 고 있 다고 보 ㄹ 있 , 미 등기 건물 관하 ㄴ 사실상 처분권 자도 건물 부지 점유 · 사용 따르 ㄴ 부당 이득 반환 의무 부담 하 는지 ( ) 이러하 ㄴ 미 등기 건물 원시 취득자 사실상 처분권 관계 ( = 부 진정 연대 채무 ) < br / > "
