number,contents
232727,  주식회사 인부 을 동원 하 여 병원 출입 통제 조치 무력화 하   다음 건물 을 점거 하 고 집행관 사무소 보관 중이 덜   유체 동산 을 지하   층 이전 하   것 을 신청 하 여 허가 받 아 보관 장소 변경 하 었 다   
125466,채권자 채무자 금원 지급 행위 사하 어 행위 되  다고 하여 취소 하 면서 증여 변제 달리 주장 하 것 공격   주장 을 달리하 것   뿐 다   
209959,자산 관리 공사 공매 목적 물의 소재지   용도   종별 수량   공매 물건 표시 등기부 기준 공고 하   이상 공매 목적물 종전 토지 다   
191294,과실 상계 공평 내지 신의칙 견지 손해 배상액 을 정하   있 어 피해자 과실 을 참작 하 것 제반 사정 을 고려 하 여 배상액 범위 정하 것 다   
129664,연대 보증인 채무자 위하 여 채무 일부 변제 하   연대 보증인 연대 보증 공동 담보 설정 되   근저당 권 피 담보 채무 중 대위 변제 금 비율 범위 근저당 권 을 법정대 하   있 다   
81467,약속 어음 발행인 부터 인적 항변 대항 을 받 어음 소지인 어음 을 저   배서   양도 하   환배서 의하 어 다시 취득 하 여 소지 하 게 되 었 지만 여전히 항변 대항 을 받 는다고 하   것 다   
112283,채무 자가 시설물 을 준공 하 여 소유권 보존 등기 경 료 하면   순위 근저당 권 을 설정 하 물적 담보 확보 하 게 하 의무 금융 기관 부담 시키  다   
82635,구 신기술 사업 금융 지원   법률   저   항 보증 채무 이행 있 기금 주 채무 대통령령 정하 종속 채무 이행 하 여야 하  다고 규정 하 고 있 다   
76747,부동산 매각 매각 행위 일반 채권자 공동 보호 감소 시키 것 아니 므로   사해 행위 하 지 않 다   
75749,기간 만료 정기 예금 반환 채권 전부 되     채무 자인 은행 채무자 여 발생 하   상계 등 사유 전부 채권자 대항 하   있 다   
74998,소유자 명의 표시 없이 단순히 입산 금지 게시판 을 부착 하 거나 페인트   하   것 만 입목 소유 공시 하 기에 적합 하   명인 라고 하   없 다   
118302,운송 목적 일부 멸실 되   손해 배상액 인도 하   날 도매 가격 의하  다   
118433,민사 소송법   의하   가지급 물의 반환 원상회복 본안 절차 취소 변경 되   한하 여 적용 되 것   뿐 당사자 소 취하 가집행 선고 부 실효 되   까지 적용 되 것 아니 다   
71992,피고 원고   가압류 집행 실시 되 었 다면 피 고는 집행 신중 을 기하 지 못하   과실 있 고 집행 신중 을 기하 지 못하   과실 있 다   
171333,당초 약정 대로 계약 이행 되 지 아니하   발생 하   있 문제 특별 하   사정 없 채무 불이행 따르   효과 로서 다루 어 지 것 원칙 다   
234449,불가분 채권자 모든 채권자 위하 여 채무자 불가분 채권 전부 이행 을 하   있 고 채무자 모든 채권자 위하 여 다른 불가분 채권자 전부 이행 하   있 다   
69895,연대 보증인 사해 행위 당시 주채 무자 이행 지체 빠지 어 있 었 으나 주채 무자 채권자 사이 변 연장 합의 채무 불이행 상태 벗어나 었 지만 채권자 여전히 연대 보증인 처분 행위 사하 어 행 위임 을 이유 취소 구하   이익 있 다   
175391,한국 자산 관리 공사 변 상금 부과   징수 권 을 행사 하 였 다 하 더라도 민 사상 부당 이득 반환 청구권 소멸 시효 중단 되  다고 하   없 다   
126518,일정 하   납부 기한 을 정하   과징금 부과 처분 어 회복 하 기 어렵   손해 예방 하 기 위하 어 집행 정지 결정 내려지 었 다면 집행 정지 기간 동안 과징금 납부 기간 진행 되 지 않 다   
110489,구 의료 보험법   규정 등 의하   사용자 부담 분 근로 자가 근로 자로 부터 지급 받 임금 하  다고 보   없 다   
81574,신용 보증 약정 을 체결 하 면서 일정 하   사유 발생 하   통지   최고 등 없 더라도 보증 금액 어 사전 구상권 을 행사 하   있 도록 약정 하     저   항 사전 구상권 을 행사 하   있 사유 확장 하 었 다   
212191,담보권 실행 을 위하   경매 절차 있 어 배당 표 각 채권자 채무자 열람 하 게 하 기 위하 어 배당기 일의   일 비치 하 어야 하나 배당 기일 출석 하   이해 관계인 배당 을 요구 하   채권자 심문 하 여 확정 하 어야 하  다   
195104,근저당 권 불특정 채권 을 어느 시기 계산 하 여 잔존 하 채무 일정 하   한도액 범위 내 담보 하 저당권 며 피 담보 채무   부종성 완화 되 어 있 다   
230367,저   변제 채무 소멸 하   변제 하   정 당하   이익 있 불리 하 지 않 고 의사 반하 지 아니하   것 되 므로 저   변제 하   정 당하   이익 있 상대 필요비 상환 청구권 을 행사 하   있 다   
70200,동업 계약 취소 내지 해제 따르   부당 이득 반환 내지 원상회복 주장 을 동업 관계 탈퇴 의사 표시 말미암 출자액 반환 을 구하 것 보  다   
198996,대물 변제 효력 을 발생 하 려면 채무자 본래 이행 갈음 하 여 행하 급여 현실적 어야 하 고 등기 나 등록 까지 경 료 하 어야 하  다   
147838,의료법   저   항 위배 되 어 무효   약정 기하 여 급부 이행 을 하 것 허용 되 지 않 다   
120370,상법   저   항 보험자 보상 하   손해액 산정   비용 보험자 부담 하  다고 규정 하 고 있 다   
183450,구 공익 사업 을 위하   토지 등 취득 보상   법률 공익 사업 효율적   수행 을 통하 어 재산권 적정 하   보호 도모 하   을 목적 하 고 있 다   
71975,대물 변제 예약 효력 발생 하 여 피고 소유 부동산   소유권 을 취득 하   원고 이전 등기 청구권 이행 불능 돌아가 고 인하 어 피 고는 불법 행위 인하   손해 배상 책임 을 질  다   
159275,해상 운송인 이나 운송 대리점 후일 선하 증권 반환 을 받 을 약정하 운송 물 을 인도 하 것 전적 운송인 운송 대리점 위험 부담 하 행해지 것 다   
95484,증권 회사 소속 직원 부정 행위 인하 어 회사 입 손해 각 채무 이행시 지출 되   금원 합산 액 다   
