number,contents
235127,유류분 반환 청구권 단기 소멸 시효 기산점   유류분 반환 청구권 유류 분권 리 자가 상속 개시 반환 하 여야 하   증여 유증 을 하   사실 을 알   라고 해석 하 어야 하  다   
234785,증여 재산 상속 개시 처분 수용 되   유류 분 을 산정 하   있 어 증여 재산 가액 산정 상속 개시 까지 사이 물가 변동률 을 반영 하  다   
234931,공동 상속인 사이 협의 이루어지 지 않 공동 상속인 사이 협의 이루어지 지 않 공동 상속인 사이 협의 이루어지 지 않 제사 주재자 결정 하 다   
234693,  상속 개시 되 면 공동 상속인 각자 정상 속 분의 비율 따르 아 모든 상속 재산 을 승계 하  다고 정하 었 다   
234385,피 상속인 배우자 자녀 중 자녀 전부 상속 을 포기 하   배우자 단독 상속인 되     
232563,해상 운송인 송하인 수하인   채권 채무 원인 계약   뿐 만 아니 라 불법 행위   제척 기간 적용 되  다   
231789,사용 사업 주가 구 파견 근로자 보호 등   법률 따르   직접 고용 간 주의 효과 발생 하 었 음에도 파견 근로 자가 파견 사업주 사이 근로 관계 중단 종료 따르 아 근로 제공 하 지 못하   파견 근로자 받으   있 었 더   임금 상당액 을 하   있 다   
231775,상속인 한정 승인 을 하면 상속 재산 상속인 고유 재산 분리 되 결과 발생 하 므로 상속인 피 상속인   재산 권리   의무 소멸 하 지 않 다   
231687,준 보전 국유림 관리 관리   법률 준 보전 국유림 을 대부 받 자가 권리 양도 하 고자 하 산림청 장의 허가 받 아야 하  다고 정하 고 있 다   
231449,미 등기 건물 을 양수 하 여 건물   사실상 처분권 을 보유 하 게 되   으로써 양수인 건물 부지 점유   사용 따르   부당 이득 반환 의무 부담 하  다   
230881,구 토지 대장 이나 농지 분배 관련 서류 기재 내용 을 권리 변동   사실 자료 삼 데 아무런 제약 없 다   
231763,임의 경매 정당성 담보권 존재 근거 하 므로 담보권 실체적 하자 있 다면 기초 하   경매 원칙적 무효 다   
231759,집합 건물 대지 지분 구분 소유권 목적인 전유 부분 종속 되 어 일체화되 관계 있 으므로 집합 건물 대지 공유 관계 일반 법리 적용 되   없 다   
228553,공동 상속인 아니   저     증여 유류분 반환 하   있 고 유류분 반환 하   있 다   
227703,  저   호 상속인 상속 재산 을 은닉 하 거나 부정 소비 하 거나 고의 재산 목록 기입 하 지 아니하   다   
223801,토지 소유자 건물 을 사용 하 데 필요 고 되 범위 소유권 행사 제한 받 을 밖에 없 는데 관습법 정지 상권 을 하 것 관습법 정지 상권 성립 을 부인 하 근거 되   없 다   
227279,청약 저축 가입자 주택 공급 을 신청 하   권리 가지 게 되 며 공동 상속인 상속 지분 비율 따르 아 피 상속인 권리 준공유 하 게 되  다   
223341,구 국세 기본법   저   항 상속인 피상 속 인의 국세 등 납부 의무 상속 재산 한도 승계 하  다는 뜻 다   
231029,저   심     사이 체결 하   부동산 매매 계약 합의 해제 되 었 음 을 확인 하 화해 권고 결정 을 하 였 다   
221861,기여 분 결정 상속 재산 분할 심판 사건 조정 조서     을 상대 하   준재심 사건 준재심 각하 하 고   심판 비용 을 부담 하 도록 정 하   심판 확정 되   준재심 사건   비용 액 확정 을 신청 하 었 다   
220249,  을 하   대리인 으로서 이의 신청 을 하여 화해 권고 결정 확정 되 지 않 도록 하   주의 의무 있 음에도 이르   위반 하 여 손해 배상 을 구하 었 다   
227205,공동 상속인 중 피 상속인 부터 재산 증여 유증 을 받 특별 수익자 있 상속분 을 산정 하   참작 하 도록 하 려는 있 다   
227211,공동 상속인 중 피 상속인 부터 재산 증여 유증 을 받 특별 수익자 있 상속분 선 급 다루 어 구체적   상속분 을 산정 하 데 참작 하 도록 하  다   
219683,공공 주택 특별법     저   항 임차인 다음 각호 어느 하나 하 임대차 계약 을 해제 해지 하 거나 재 계약 을 거절 하   있 정하 었 다   
219685,유류 분 제도       저     저     저   피상 속 인의 재산권 을 과도 하 게 침해 하 여 헌법   저   항 저   저   항 위반 되 중요 하 다   
219297,유증 분권 리 자의 유류 분 부족액 유류 분권 리 자가 부담 하 상속 채무 공제 하 여 산정 하 고 유류 분권 리 자가 부담 하 상속 채무 더 많 다면 초과분 을 유류분 액 가산 하 여 산정 하 어야 하  다   
230739,가설 건축물 건축법 등 관계 법령 가설 건축물 신고 명의자 변경 하 절차   규정 없 어 부득이   을 신고 명의 자로 계속 두 었 다   
219733,저   위하   계약 당사자 자기 명의 체결 하   계약 계약 당사자 일방 여 권리 취득 하 게 하 것 을 목적 하 계약 다   
219891,재외 공관 구 북한 이탈 주민 보호 정착 지원   법률   따르   보호 신청 을 하 고 대한민국 입국 하       국가 손해 배상 을 구하   다   
222665,국가 형사 보상금 지급 형사 보상 명예 회복   법률   저   항 반하 이중 지급 라고 주장 하 며 형사 보상금 전액 을 지급 하 었 다   
227043,채권자 현실적 지출 하   비용 어도 당해 집행 무관 하 거나 필요 없 것 집행 비용 하 지 않 다   
217771,민사 소송법   저   항 당사자 간과 하 였 음 분명 고 되 법률 사항 여 당사자 의견 을 진술 하   기회 주 어야 하  다고 정하 고 있 다   
217795,상속인 상속 개시 되   부터 피 상속인 재산   포괄적 권리 의무 승계 하 며 상속인 상속 개시 되   부터 피 상속인 재산   포괄적 권리 의무 승계 하  다   
217323,공동 상속인 다르   공동 상속인 무상 자신 상속분 을 양도 하 것 유류 분     조의 증여 하 므로 상속분 양도 인의 사망 인하   상속 유류분 산정 을 위하   기초 재산 포함 되  다   
217325,유류 분 제도 상속인 상속 재산 형성   기여 상속 재산   기대 보장 하 데 입법 있 다   
218945,구 광주 민주화 운동 보상법 따르   보상금 등 을 받 더라도 불법 행위 인하   정신적 손해 어서 재판 화해 성립 되   것 보   법률 근거 사라지 었 다   
217375,불법 행위 인하   손해 배상 청구권 피해자 나 법정 대리인 손해 가해자 알   날 부터   년 간 행사 하 지 않 으면 소멸 시효 완성 되  다   
217651,공동 상속인 다르   공동 상속인 무상 자신 상속분 을 양도 하 것 유류 분     조의 증여 하 므로 상속분 유류 분 산정 을 위하   기초 재산 산입 되  다   
216665,민사 소송법   사실 심의 변론 종결 시 까지 소가 소의 변론 종결 시 까지 취하   각하 등 의하 여 계속 소멸 되 면 중복 제소 금지 위반 되 지 않 는다고 정하 고 있 다   
226865,  저   항 점유자 점유물 을 반환 하   회 복자 여 점유물 을 보존 하 기 위하 여 지출 하   금액 기타 필요 비의 상환 을 하   있 으나 점유자 과실 을 취득 하   통상 필요비 하 지 못하  다고 정하 고 있 다   
214229,가사 규칙   저   항 가정 한정 승인 신고 수리 심 판서 신고 일자 대리인   사항 을 기재 하 도록 정하 고 있 지 않 다   
226751,상가 건물 임차인 저     대항력 을 취득 하   다음 임차 건물 양도 등 소유 자가 변동 되   새로 운 소유자 임대인 지위 당연히 승계 하  다는 다   
213113,강제 동원 되 어 위안부 생활 을 강요 당하     등 일본국 을 상대 위자료 지급 을 구하   국가 면제 적용 하   없 고 예외적 대한민국 재판권 있 봄 타당 하  다   
212841,지방 세법   저   항 따르 아 재산세 납부 의무 부담 하 공부 소유자 등재 되   불문 하 고 당해 토지 나 재산   실질적   소유권 을 가지   하  다   
227875,  저   항 상속인 미성년     저   항 이나 소 급 적용   부칙 다   
212687,공동 선조 후손 중 특정 범위 내의 만 조직 체 구성 하 여 활동 하 고 있 다면 종중 유사 권리 능력 없 사단 되   있 다   
226521,명의 신탁 신탁 재산세 납세 의무 부담 하 재산세 과세 기준 일 라도 부동산   소유권 을 가지   자로 서 재산세 납부 하   의무 있 다   
211801,근저당 권 근저당 권 설정자 사이 형성 되   법률 관계 실체 밝히 것 의사 표시 해석 영역 속하  다   
211821,  단서 말하 저   상속 재산 여 새롭   이해관계 가지 었 을 뿐 만 아니 라 등기   인도 등 권리 취득 하   사람 을 말하  다   
211747,채권자 근저당 권 사이 형성 되   법률 관계 실체 밝히 것 의사 표시 해석 영역 속하 것 기 때문 행위 가지 법률적 논리 경험칙 따르 아 합리적 해석 하 어야 하  다   
226319,공유물 소 수지 분권 자가 공유물 전부 일부 독점적 점유   사용 하 고 있 공유물 인도 하   있 공유물   방해 상태 제거 하 거나 공동 점유 방해 하 행위 금지 등 을 하   있 다   
226321,공유물 분할 청구권 공유자 일반 재산 을 구성 하 재산권 일종 며 공유물 분할 청구권 공유자 공유자 대위권 목적 되   있 다   
211283,공무원 불법 행위 인하 어 분배 농지   권리 상실 하   피 상속인 사망 하   이후 상속인 채권 상속 재산 분할 대상 되   있 문제 되   어 정당 하 하 었 다   
210793,구 상법     저   항 보험 계약자 피 보험자 상속인 아니   보험 수익자 지정 하   피 보험자 서면 동의 받 아야 하  다고 규정 하 고 있 다   
226013,국가 기관 소속 수사관 국가 안전 공공 질서 수호 위하   대통령 긴급 조치 위반 하 였 다는 공소 사실 기소 되 어 손해 배상 을 구하   다   
226005,  세월 호 침몰 사고 인하   손해 배상 의무 부담 하 였 고   상속인 손해 배상 의무 부담 하 였 으며   세월 호 침몰 사고 인하   손해 배상 의무 부담 하 였 다   
225959,  같 노인 농 수로 빠지 었 을 빠져나오 기 쉽 지 않 았 을 것 보이 점 등 을 종합 하 면 농 수로 영농 외의 목적 접근 하 사람 농 수로 빠지   익사 등 사고 발생 하   위험 적 지 않 다   
225943,등 기관 등기 신청 있 부동산 등기법 정해지   내용 절차 따르 아 신청 정보 첨부 정보 그리고 등기 기록 기초 하 여 등기 신청 적법 하   지 심사 하   권한 있 다   
210569,국가 배상 청구권 어서 피해자 나 법정 대리인 손해 가해자 알   날 부터   년 불법 행위 하   날 부터   년 소멸 시효 적용 되  다   
210419,정부 자경 하 지 않 자의 농지 매수 하 여 취득 하   것 나중 농지 분배 되 지 않 을 것 을 해제 조건 하   것 보 아야 하  다   
210415,구 공익 사업 을 위하   토지 등 취득 보상   법률 저   저   항 취득 일 당시 토지 소유자 포괄 승계인 당해 토지 여 지급 받 보상금 상당 하   금액 을 사업 시행자 지급 하 고 토지 환매 하   있 규정 하 고 있 다   
209601,체육 시설 설치   이용   법률   체육 시설 업자 이용 관계 맺 다수 회원 이익 을 보호 하 데 입법 있 다   
209310,연안 복합 어선 소유자 겸 선장     잠수부   을 승선 시키   출항 하 였 다가 바지선 을 발견 하 지 못하 고 사망 하 사고 발생 하     사망 인하   손해 배상 하   책임 있 손해 배상 을 구하 었 다   
209331,디 크   페 낙 성분 있 주사제 중대 하   심혈 관계 혈전 반응   심근 경색증 뇌졸중 위험 을 증가 시키   있 는데     과거 병력 투약 력 을 문진 이나 기타 파악 하 지 않 고 주사제 처방 하 었 다   
208735,부동산 소유자   원고 소유권 을 상실 하 게 되 면 피고 명의 소유권 전등 기의 말소 하   권원 없 으므로 원고 피고 여 소유권 기한 등기 말소 하   없 다   
208501,부동산 실 권리자 명의 등기   법률 을 위반 하 여 무효   명의 신탁 약정 따르 아 명의 수탁자 명의 등기 하   등기 말소 구하 것   불법 원인 급여 이유 금지 되  다   
207519,    친구     을 집 데려오 아 수면제 타   음료수 등 을 먹이 도록 하     을 추행 하 다가 잠 깨     을 살해 하 었 다   
